id,age
NDARINVVNVXNELX_2YearFollowUpYArm1,140
NDARINV6X4L1EPK_2YearFollowUpYArm1,141
NDARINVRMNE6ECK_2YearFollowUpYArm1,143
NDARINVU5DCN232_2YearFollowUpYArm1,146
NDARINV5A2VREUG_baselineYear1Arm1,126
NDARINVNTY8NW4G_baselineYear1Arm1,121
NDARINV4WA9A9A5_2YearFollowUpYArm1,140
NDARINVP2E79N2K_baselineYear1Arm1,129
NDARINV5D540DWZ_baselineYear1Arm1,131
NDARINV5L65JM7L_baselineYear1Arm1,109
NDARINVR29UPFWC_2YearFollowUpYArm1,141
NDARINV620B7YP2_2YearFollowUpYArm1,133
NDARINV69FLDML4_baselineYear1Arm1,130
NDARINV6H7448TR_baselineYear1Arm1,123
NDARINV7B7LHAU0_2YearFollowUpYArm1,141
NDARINVN8WMY397_baselineYear1Arm1,111
NDARINVL38MLBTJ_2YearFollowUpYArm1,152
NDARINVLBAKFHGK_baselineYear1Arm1,130
NDARINVLW127JFT_2YearFollowUpYArm1,139
NDARINV2J8WHJ3R_baselineYear1Arm1,108
NDARINV2P48F0JJ_baselineYear1Arm1,117
NDARINVMJ61WEFZ_baselineYear1Arm1,115
NDARINV35UXPP43_2YearFollowUpYArm1,135
NDARINV37AGV6H4_baselineYear1Arm1,131
NDARINV3BL9Z315_2YearFollowUpYArm1,130
NDARINVN1V585NY_2YearFollowUpYArm1,146
NDARINVXV9T20V8_2YearFollowUpYArm1,151
NDARINVE6KKE4TT_2YearFollowUpYArm1,148
NDARINVY8P9LNN8_2YearFollowUpYArm1,142
NDARINVYR1LYX8E_baselineYear1Arm1,122
NDARINVEY67B030_baselineYear1Arm1,109
NDARINVZ547MN37_baselineYear1Arm1,119
NDARINVCDNXAUT3_baselineYear1Arm1,120
NDARINVA354YMUE_baselineYear1Arm1,113
NDARINVB2KKR9FP_2YearFollowUpYArm1,140
NDARINVVZJC6YFE_baselineYear1Arm1,108
NDARINVW1A2WG25_baselineYear1Arm1,122
NDARINV8BG4EF9Y_2YearFollowUpYArm1,140
NDARINV59C91GGB_2YearFollowUpYArm1,136
NDARINVPFK4E6YP_baselineYear1Arm1,115
NDARINV6K2HE999_baselineYear1Arm1,117
NDARINVRF70B79M_2YearFollowUpYArm1,151
NDARINVRLV2KEJP_2YearFollowUpYArm1,149
NDARINV6WW1A9ER_baselineYear1Arm1,113
NDARINVRPED5RXE_baselineYear1Arm1,120
NDARINV73P1LVTY_baselineYear1Arm1,124
NDARINVT90P7NTW_baselineYear1Arm1,129
NDARINV4DVGGJE9_2YearFollowUpYArm1,149
NDARINVNNVUN23M_2YearFollowUpYArm1,142
NDARINV4JAZBMAX_baselineYear1Arm1,127
NDARINV1MF1L9LR_2YearFollowUpYArm1,147
NDARINV1U4C4M56_baselineYear1Arm1,121
NDARINVM7FJXJRR_baselineYear1Arm1,125
NDARINV31ACJHK5_baselineYear1Arm1,123
NDARINV37AGV6H4_2YearFollowUpYArm1,153
NDARINVMZKNKER7_2YearFollowUpYArm1,147
NDARINVN3KE0NWT_baselineYear1Arm1,119
NDARINV3N6L8Z9U_baselineYear1Arm1,124
NDARINVYEKG7D1H_baselineYear1Arm1,111
